name,cuisine,description,localAddress,phone,rating
The Persian Terrace,Lebanese Mediterranean Middle Eastern Persian     ,"Persian Terrace is Bangalore’s only Persian fine dining venue. The perfect setting for an enchanting evening accompanied by a nip in the air as you dine beneath the stars and experience the magic of the five elements of nature on which the restaurant is themed on. The evening comes alive with the atmosphere of a Middle-Eastern wonderland, with chandeliers, shimmering lanterns and twinkling tea lights. The smell of mouth-watering kebabs and other Middle Eastern delights hand crafted by our culinary maestros. Waft through the evening breeze as you sample on some of the finest pilafs and mezzes to grace a dinner plate while you take in the wonders of an Arabian night recreated in the garden city.","4th Floor 26 1 Dr Raj Kumar Road, 560055",+91 80 4252 1000,4.5
Subz,Indian Asian       ,,"Cosmopolitan Club, 22nd Cross, 3rd Block, Jayanagar, 560011",+91 80 2244 3006,4.0
The Rogue Elephant,Mediterranean        ,"The Rogue Elephant is an open-air casual dining restaurant. This restaurant serves Italian and Mediterranean cuisines along with a variety of other Continental delicacies. The various ingredients and authentic herbs and spices instantly give a soul-satisfying taste to the diners. The Rogue Elephant has a simple and spacious ambiance and is ideal for Continental food lovers who like spending quality time with families and loved ones. The Rogue Elephant is located in Basavanagudi, Bangalore and is next to New Generation School.","93 Karnika Road, 560004",+91 98456 64681,4.5
Lotus Pavilion,Bar International Healthy      ,"The multi-pillared Lotus Pavilion has beautiful sloping roofs covered with a lawn of fresh green grass aptly referred to as a 'Living Room with a Living Roof'. A delightful meeting place over tea or to raise a toast. Framed by the wind-cooled lobby of the hotel and the first sight to greet our patrons, the Lotus Pavilion is a celebration of all that ITC Gardenia stands for- the best of nature in an environment that expresses the best of human endeavor. The ideal sit-out restaurant – any time of the year, you can enjoy a fine line up of beverages from around the world, with a selection of gourmet tapas and hors d’oeuvres from our carefully crafted menu.","No. 1 Residency Road, ITC Gardenia, 560025",+91 80 2211 9898,5.0
Truffles,American Cafe Fast Food      ,,"#93 - A 4th B Cross, Appek Building, 560095",+91 80 4146 6565,4.5
"Barbeque Nation - Indiranagar, Bangalore",Indian Barbecue Asian      ,"Pioneers of Live Grill Concept in India. A place known for any celebrations. Best Barbecues/kebabs & Starters. Unlimited Food including Starters, Main Course, Desserts, Kulfi's.","4005 100 Feet Road, Hal 2nd Stage, Indiranagar, Opposite Floating Walls, 560071",+91 80 6902 8722,4.5
13th Floor Lounge Bar,Indian Bar Asian Thai     ,"Feted, lauded, celebrated, copied but never duplicated...these words best describe the 13 plus year old journey of The 13th Floor. Although the more popular way most of our patrons describe The 13th Floor is ...The view ! The view !! Oh-my-God ....the view!!! Saying that The 13th floor is a cocktail lounge is like saying that a Single Malt Scotch is a drink made from barley and water. A space that allows you to unwind with colleagues after a tough work-day, have night out on the town with the girls, chill out with that significant someone or even conduct a business discussion over drinks. Vast open spaces that are clad in glass and brushed steel to give guests a fully undiluted, unobstructed view of Bangalore city at their feet with the star spangled sky above. Music is played at conversation level volumes and is a mix of retro pop and rock ballads and lounge mixes. The spanking new Cocktail Menu is a heady mix of the contemporary re-working of old standards and the tried and tested. A great wine list and their unique way of putting together great wine and champagne cocktails ensures that even first-time tipplers have something to raise their glasses with.","84 Mahatma Gandhi Road, 560001",+91 80 4178 3333,4.0
Imli Cafe and restaurant,Chinese Indian Asian      ,"""One of the nicest things about life is the way we must regularly stop whatever we are doing and devote our attention to eating.""We heartily endorse this sentiment! But like a beautiful painting is enhanced by the perfect frame, a good meal must be savoured in the proper setting, with food not just for the belly, but also for the heart and the soul.So we created Imli. A home away from home, where beautiful art adorns the walls, delicious food sits on the table, and friendship and laughter fill the air…We serve delicious, healthy, pure vegetarian North Indian cuisine with an emphasis on quality ingredients cooked in a manner your mother would approve. Our recipes have been handed down through generations in our family and it is with pride that we share them with you.Come and visit us, and tell your friends.Oh, and did we mention, we serve the best garam chai in the area.","204 5th Main, 7th Cross, 560038",+91 80 4094 9464,4.0
Communiti,Bar Pub       ,,"67/68, Brigade, Residency Road, Opp. Hyundai Showroom, 560025",+91 93421 58585,4.5
Champaca Cafe,African Cafe European Asian Contemporary Ethiopian   ,,"7/1, Edward Road, Off Queens Road, 560052",+91 93536 08989,4.5
Maiyas Restaurants Pivate Limited,Indian Asian       ,,"459/30 Opposite Jayanagar Police Station 30th Cross, BIAL, Bangalore International Airport, 560011",+91 80 4341 4400,4.0
Echo Lounge Bar,Indian Bar Pizza International Wine Bar    ,Chic Lounge Bar in Outer Ring Road,"Cessna Business Park, Outer Ring Road, Kadubeesanahalli, 560103",+91 97391 63630,5.0
Gufha,Indian        ,"As the name suggest is a theme restaurant with the interiors of a Cave. ""Gufha"" is one of its kind restaurants in Bangalore, serving Indian & North West Frontier Cuisine like the Afghani & Peshawari with a Bar.","The President Hotel, 5th Floor, 3rd Block, Diagonal Road, Jayanagar, 560011",+91 99809 09053,4.0
Bombay Brasserie,Indian Bar Grill Pub Dining bars    ,"Re-discover India through an explosion of flavour.Sample small plates or indulge in large ones, from an eclectic selection of ingredients and pairings that infuse the familiar with the unexpected. Satisfy those cravings for good conversation and great food, through an exciting adventure that serves up the very best of India's ingredients and dishes for the armchair traveller.","#2989/B, 12th Main Road, Indiranagar, HAL 2nd Stage, 560008",+91 80 4147 1004,4.0
Vidyarthi Bhavan,Indian Asian Healthy      ,,"No 32, Gandhi Bazar Main Road, Near Gandhi Bazaar Circle, 560 004",+91 80 2667 7588,4.0
MTR - Mavalli Tiffin Rooms,Indian        ,"Mavalli Tiffin Rooms, known more popularly as MTR, was established in 1924 and is one of Bangalore's oldest and most well known restaurants.","#14, Lalbagh Road, 560027",+91 80 2223 0471,4.0
Cubbon Pavilion,International European Healthy      ,"ITC Gardenia’s sky lit 24-hour restaurant that offers a delectable spread of Indian and inventive International cuisine- The Cubbon Pavilion is the ideal place for round-the-clock dining in Bengaluru, in a cheerful ambience. Named after Cubbon Park – the green lung of the city, a sprawling 300-acre park with thousands of species of flora, Cubbon Pavilion owns ITC Gardenia’s most remarkable feature – the vertical garden, which comes together seamlessly with the glass, marble, steel and wood adorned elegance of the restaurant to create an environment that is soothing, cheerful and infused with the freshness of nature. Known for this extravagant Sunday Brunch offerings, Cubbon Pavilion also offers a buffet spread for each meal period along with a multi-cuisine a-la-carte menu, for an anytime dining experience that is truly special.","1 Residency Road, ITC Gardenia, 560025",+91 80 2211 9898,5.0
Shang Palace,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,,"No 56-6B Palace Road, Level 3, Shangri-La Hotel, 560001",+91 80 4512 6440,4.5
The Raj Pavilion,Indian International Asian Healthy     ,"This glass covered restaurant, with interiors inspired by the 100-year-old Lalbagh gardens, brings a nostalgic touch of Victorian architecture with its splendor. Recipient of the Silver Award for the Food Lovers Food Guide - Food & wine Culinary Event, this elegant round-the-clock fine dining restaurant is designed on the lines of an English Garden Glass house. Head here for a fine dining experience at any time of the day. Lit by massive windows, overlooking the pool, this cheerful sun-soaked restaurant features elaborate breakfast buffets and a la carte dinner options through the week, with an extensive choice of soups, salads, kebabs, main course dishes from multiple cuisines and a delicious selection of gourmet desserts.","25 Windsor Square Golf Course Road, ITC Windsor, 560020",+91 80 6140 1224,5.0
Byg Brewski Brewing Company,Brew Pub        ,"Phenomenal Beers Beers brewed by the Bygvirs themselves using otherworldly flavors and worldly flavors to get your soul soaring. Handcrafted by the experts, our brews guarantee a great drink. Exquisite Food Our great chefs can whip up anything you can think of from Indian food to Sushi we have you covered. Don’t hesitate to ask if we have a particular dish, we probably do. Stunning Space Overlooking the vast lake in the middle, our open air restaurant let’s you enjoy all the good things in life, Bangalore weather, great music and hand crafted beers. Even our fish are handpicked to make sure that all your experiences are perfect. Absolute Entertainment With live bands filling the air with foot tapping music once a week & bar tenders who have tricks that you haven’t even witnessed in a circus, Byg Brewski offers a wholesome entertainment package.","Sarjapur Road, Behind MK Retail, Before Wipro Corporate Office, 560035",+91 70224 17971,4.5
Long Boat Brewing Co,American Indian Barbecue Asian Beer restaurants    ,"Say HELL0 To The Newest Brewery In Bengaluru. This One Has Gone All Out With A Vicking Theme And A Stunning Indoor Waterfall. You Will Get The Best View From Any Corner And It’s Definitely A Sight To See. We Have Outstanding 10 Varieties Of Craft Beers, Some Noteworthy Mentions Are Watermelon, Stout, Wheat And Lemongrass, We Have Extensive Global Menu With Over 240 Iteam To Choose From, So There Is Something For Everyone. The Food Is Excellent. We Have A Seating Capacity Of Around 800 Pax Along With 200 Capacity Banquet And Parking Is Available.","1st Main, MSR Layout, Chandra Layout, Marathahalli, 560037",+91 80 4736 0054,4.5
The Black Pearl,Indian Barbecue Asian      ,,"105, 4th Floor, Vikas Tech Park, 1st A Cross Road, Koramangala Industrial Layout, Jyothi Nivas College Road, 5th Block, Near Jyothi Nivas College, Koramangala, 5th Block, Koramangala, 560095",+91 80 2552 0808,4.0
Shiro Bengaluru,Japanese Sushi Asian Shanghai     ,"Shiro, or castle in Japanese, is a dramatic soaring space that immediately captures the imagination and stretches the senses. The towering interior is finished in a unique combination of natural stone, woods, slate, leather, bamboo, and velvet complemented by shimmering lotus pools, soft furniture and subtle lighting. Shiro’s ability to stimulate your senses continues with their diverse cuisine and sophisticated bar. Inspired by the fiery orient, the menu offers an eclectic mix of Korean, Vietnamese, Chinese, Japanese and Thai gastronomy . Having won 19 awards across the country over the last eight years, including The Times Food Guide’s Best Pan Asian Restaurant in Bengaluru for the last four years consecutively, Shiro speaks for itself.","UB City, Vittal Mallya Road, 222, 3rd Floor, Ashok Nagar, 560001",+91 98332 52772,4.5
Cinnamon,Cafe Deli       ,"A one-stop destination for gourmet delicatessen items such as homemade gelato waff-wiches and freshly baked breads with an equally alluring selection of designer cakes, decorative pastries and distinctive beverages that exude innovation.","17 & 17/1, Madhava Nagar Ext, Race Course Lane, Renaissance Bengaluru Race Course Hotel, 560001",+91 80 4163 4220,5.0
Lush,American Indian International Asian Afghan    ,"Lush at Renaissance Bengaluru Race Course Hotel is a casual dining restaurant offering vibrant Indian and International cuisines with an emphasis on regular sanitization and consciously sourced ingredients projected through inventive dishes. Featuring innovative live kitchens and advancing indoor and outdoor seating, the ambiance at Lush is perfect for large gatherings with friends, or for business dining.","17/1 Madhavanagar Extension, Race Course Road, Located In Renaissance Hotel, 560001",+91 95139 44520,5.0
Kebabs & Kurries,Indian        ,"Kebabs & Kurries is a symphony of fine dining in an ambience that complements the cuisine. Under the baton of the most celebrated chefs, great curries of the country are served along with the most exquisite kebabs in the land. Years of experiment and research into ancient culinary secrets have gone into composing a delectable menu that will entrance even the most fastidious gourmet. The sumptuous menu at Kebabs & Kurries comprises of a mouth-watering array of Kebabs and a wide range of dishes from all over India. These dishes can be categorised as either Qormas, Qaliyas or Salans. Show kitchens visible from all corners are the highlights of the restaurant where the sight and smell of cooking seduce your senses.","1 Residency Road, ITC Gardenia Hotel, 560001",+91 80 2211 9898,5.0
